                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9779,                 54.227,                 3.2482,                  3.113,                 93.763,                 2.7442,                  3e-05,                0.46454,                0.00163,                0.00036,                 3.0546,                 5.5759,                 2.5339,                 2.7268,                 6.7315,                 2.4062,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.8581,                 4.5006,                 2.1834,                 2.6022,                  4.702,                 1.9822,                0.85446,                0.01741,                0.02739,                0.00876,                 2.4033,                 4.0645,                 2.0718,                 2.1239,                 4.0727,                 1.9059,              0.0065996,              0.0065996,              0.0065996
