                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7639,                 37.091,                  3.011,                 3.0772,                 58.085,                 2.5928,                  4e-05,                0.57268,                 0.0012,                0.00027,                 2.9107,                 5.1949,                 2.4423,                 2.4659,                 5.2377,                 2.1503,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.9403,                 4.7084,                 2.2335,                 2.6508,                  4.896,                 2.0206,                0.20289,                0.41857,                0.02655,                0.00683,                 2.5884,                 4.2872,                 2.1738,                 2.2592,                 4.3819,                 1.9825,              0.0065996,              0.0065996,              0.0065996
                      3,                 2.8559,                 4.4662,                 2.1782,                  2.608,                 4.7027,                 2.0097,                  7e-05,                0.74306,                0.03129,                 0.0093,                 2.4556,                  3.573,                 2.0888,                  2.131,                 3.9329,                 1.9046,              0.0098009,              0.0098009,              0.0098009
                      4,                 2.7973,                 4.2716,                 2.1323,                 2.5928,                  4.527,                 1.9673,                  7e-05,                0.79801,                0.04745,                0.01661,                   2.27,                 3.2683,                 1.9612,                 2.0035,                 3.6473,                 1.7789,               0.009703,               0.009703,               0.009703
                      5,                 2.7105,                 4.1197,                 2.0575,                 2.5078,                 4.3823,                 1.8867,                0.84185,                0.05929,                0.04976,                0.01759,                 2.2119,                 3.3099,                 1.9274,                 1.9663,                  3.648,                 1.7481,               0.009703,               0.009703,               0.009703
                      6,                 2.7061,                 4.0194,                 2.0633,                 2.4722,                 4.3076,                 1.8762,                0.84015,                0.07012,                0.05971,                0.02193,                 2.1943,                 3.2623,                 1.9132,                 1.9083,                 3.6172,                 1.7174,               0.009604,               0.009604,               0.009604
                      7,                 2.6401,                 3.9831,                 2.0191,                 2.4514,                  4.256,                 1.8505,                  6e-05,                0.84791,                0.05116,                0.01883,                 2.1954,                 3.5309,                 1.9103,                 1.9137,                 3.8209,                 1.7165,               0.009505,               0.009505,               0.009505
                      8,                 2.6431,                 4.0229,                 2.0197,                  2.437,                 4.3182,                 1.8335,                  6e-05,                0.84184,                0.04413,                0.01612,                 2.2018,                 3.9432,                 1.9148,                 1.9283,                 4.2139,                 1.7213,               0.009406,               0.009406,               0.009406
                      9,                  2.607,                 3.8578,                 1.9975,                  2.424,                 4.1532,                 1.8202,                  6e-05,                0.84804,                0.04812,                0.01805,                 2.1895,                 3.7453,                 1.9098,                 1.9301,                 4.0419,                 1.7142,               0.009307,               0.009307,               0.009307
                     10,                 2.5926,                 3.8576,                  1.992,                 2.4034,                 4.1563,                 1.8222,                  6e-05,                0.85422,                0.05301,                0.02046,                 2.1907,                 3.6143,                 1.9085,                 1.9322,                 3.9182,                 1.7095,               0.009208,               0.009208,               0.009208
