                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8907,                 2.2389,                 1.5435,                 1.8869,                 2.5633,                 1.4612,                0.41627,                 0.3469,                0.32941,                0.15813,                 1.7989,                 1.9491,                 1.6138,                 1.7311,                 2.1334,                 1.5543,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.1629,                 2.8047,                 1.7064,                 2.0919,                 3.0937,                  1.587,                0.23882,                0.21927,                0.19903,                0.08604,                 2.0018,                 2.5065,                 1.7493,                  1.899,                 2.7498,                 1.6589,               0.006599,               0.006599,               0.006599
                      3,                 2.4252,                 3.4224,                 1.8807,                 2.2921,                 3.7357,                 1.7352,                0.87284,                0.06918,                0.08201,                0.03252,                 2.0416,                 11.904,                 1.8068,                 1.8881,                  8.308,                 1.6924,              0.0097991,              0.0097991,              0.0097991
                      4,                 2.4924,                 3.5211,                 1.9208,                 2.3278,                 3.8735,                 1.7671,                0.67675,                0.13872,                0.15252,                 0.0689,                 1.9432,                 2.6686,                 1.7375,                 1.7798,                 3.0277,                 1.6066,              0.0097003,              0.0097003,              0.0097003
                      5,                 2.4319,                  3.422,                 1.8679,                 2.2988,                  3.759,                 1.7265,                0.65724,                0.13998,                 0.1602,                 0.0737,                  1.892,                 2.5726,                  1.696,                 1.7065,                 2.9422,                 1.5623,              0.0097003,              0.0097003,              0.0097003
                      6,                 2.4531,                 3.3824,                 1.8983,                 2.3227,                 3.7448,                  1.763,                0.62077,                0.14156,                0.16145,                0.07667,                  1.879,                 2.5402,                 1.6962,                 1.7164,                 2.8828,                 1.5682,              0.0096004,              0.0096004,              0.0096004
                      7,                 2.4073,                 3.3721,                 1.8632,                 2.2861,                 3.7164,                 1.7303,                0.62543,                0.13385,                0.15844,                  0.076,                 1.8832,                 2.5565,                 1.6976,                 1.7133,                 2.9187,                 1.5656,              0.0095005,              0.0095005,              0.0095005
                      8,                 2.4383,                  3.431,                 1.8877,                 2.3021,                 3.7615,                 1.7412,                0.61382,                0.13146,                0.16024,                0.07745,                 1.8833,                 2.5606,                 1.6982,                 1.7093,                 2.9076,                 1.5593,              0.0094006,              0.0094006,              0.0094006
                      9,                 2.4068,                 3.3386,                 1.8684,                 2.2794,                 3.6831,                 1.7342,                 0.6103,                0.13181,                0.16012,                0.07701,                 1.8779,                 2.5671,                 1.6964,                 1.7039,                 2.9215,                 1.5616,              0.0093007,              0.0093007,              0.0093007
                     10,                  2.407,                 3.3455,                 1.8643,                 2.2736,                 3.7034,                 1.7306,                0.58213,                0.12865,                0.15555,                0.07498,                 1.8825,                 2.5896,                  1.698,                 1.7031,                  2.966,                 1.5604,              0.0092008,              0.0092008,              0.0092008
                     11,                 2.4137,                 3.3837,                 1.8733,                 2.2846,                 3.7082,                 1.7315,                0.80023,                0.12645,                0.15457,                  0.074,                 1.8853,                 2.6168,                 1.7008,                 1.7108,                 2.9759,                 1.5646,              0.0091009,              0.0091009,              0.0091009
                     12,                 2.4207,                 3.3298,                  1.885,                 2.3062,                  3.705,                 1.7443,                0.77174,                0.13094,                0.15625,                 0.0737,                 1.8901,                 2.6248,                 1.7015,                 1.7144,                 2.9925,                 1.5689,               0.009001,               0.009001,               0.009001
                     13,                 2.4425,                 3.3813,                 1.8767,                 2.3113,                 3.7227,                 1.7369,                0.79111,                0.13245,                0.15523,                0.07266,                 1.8931,                 2.6202,                 1.7037,                 1.7205,                 2.9879,                 1.5744,              0.0089011,              0.0089011,              0.0089011
                     14,                 2.4114,                 3.3707,                 1.8697,                 2.2904,                 3.7203,                 1.7322,                0.78109,                0.12453,                0.15426,                0.07279,                 1.8903,                 2.6184,                 1.7025,                 1.7117,                 2.9854,                 1.5711,              0.0088012,              0.0088012,              0.0088012
                     15,                 2.4144,                 3.3331,                 1.8633,                 2.2813,                 3.6735,                 1.7204,                0.76787,                 0.1301,                0.15406,                0.07311,                 1.8824,                  2.605,                 1.6973,                 1.7041,                 2.9781,                 1.5675,              0.0087013,              0.0087013,              0.0087013
                     16,                 2.4034,                  3.315,                 1.8445,                 2.2672,                 3.6423,                 1.7111,                0.77378,                0.13025,                0.15515,                0.07456,                 1.8748,                 2.5853,                 1.6924,                 1.7004,                 2.9626,                 1.5626,              0.0086014,              0.0086014,              0.0086014
                     17,                 2.3645,                 3.2752,                 1.8489,                 2.2391,                 3.6225,                 1.7027,                0.79361,                0.13535,                0.15868,                0.07625,                 1.8724,                 2.5856,                 1.6901,                  1.697,                 2.9525,                 1.5613,              0.0085015,              0.0085015,              0.0085015
                     18,                 2.3933,                 3.3133,                 1.8516,                 2.2621,                 3.6586,                 1.7094,                 0.7716,                0.13745,                0.15997,                0.07691,                 1.8727,                 2.5937,                 1.6896,                 1.7068,                 2.9436,                 1.5656,              0.0084016,              0.0084016,              0.0084016
                     19,                 2.3858,                 3.2827,                 1.8444,                 2.2542,                 3.6438,                 1.7054,                0.77982,                 0.1381,                0.16036,                0.07696,                 1.8679,                 2.5749,                 1.6877,                 1.6873,                 2.9459,                 1.5619,              0.0083017,              0.0083017,              0.0083017
                     20,                 2.3868,                 3.3012,                 1.8532,                  2.256,                 3.6541,                 1.7086,                0.79216,                0.13746,                0.16242,                0.07821,                 1.8547,                 2.5585,                 1.6816,                  1.678,                  2.934,                 1.5567,              0.0082018,              0.0082018,              0.0082018
                     21,                 2.3848,                 3.2762,                 1.8512,                 2.2572,                   3.64,                 1.7057,                0.77306,                0.13711,                0.15828,                0.07683,                 1.8612,                 2.5931,                 1.6844,                 1.6894,                 2.9677,                 1.5603,              0.0081019,              0.0081019,              0.0081019
                     22,                 2.3774,                 3.2327,                 1.8506,                 2.2462,                 3.6233,                 1.7039,                0.62682,                 0.1398,                0.15492,                0.07461,                 1.8742,                 2.6033,                  1.688,                 1.6882,                 2.9699,                 1.5594,               0.008002,               0.008002,               0.008002
                     23,                 2.3671,                  3.271,                 1.8405,                 2.2316,                 3.6039,                 1.6964,                0.66187,                0.14172,                0.15274,                0.07393,                 1.8854,                 2.6101,                 1.6912,                 1.6895,                 2.9783,                 1.5618,              0.0079021,              0.0079021,              0.0079021
                     24,                 2.3551,                  3.265,                 1.8258,                 2.2279,                  3.603,                 1.6794,                0.63543,                 0.1448,                 0.1566,                0.07555,                 1.8803,                 2.5968,                 1.6881,                 1.7024,                 2.9599,                 1.5646,              0.0078022,              0.0078022,              0.0078022
                     25,                  2.384,                 3.2703,                 1.8614,                 2.2574,                 3.6305,                 1.7139,                0.65136,                0.14555,                0.16261,                0.07844,                  1.871,                 2.5702,                  1.684,                  1.698,                  2.937,                 1.5621,              0.0077023,              0.0077023,              0.0077023
                     26,                 2.3727,                 3.2452,                 1.8338,                 2.2485,                 3.6063,                  1.695,                0.63859,                0.14464,                0.16393,                0.07902,                 1.8746,                 2.5569,                 1.6837,                 1.7065,                 2.9287,                 1.5635,              0.0076024,              0.0076024,              0.0076024
                     27,                 2.3554,                 3.2377,                 1.8211,                 2.2203,                 3.5866,                 1.6841,                0.78284,                 0.1478,                0.17109,                0.08227,                 1.8732,                 2.5434,                 1.6801,                 1.6885,                 2.9257,                 1.5561,              0.0075025,              0.0075025,              0.0075025
                     28,                 2.3506,                  3.238,                 1.8218,                 2.2323,                 3.5652,                  1.687,                0.60931,                0.15037,                0.17212,                0.08289,                 1.8712,                  2.548,                 1.6816,                 1.6995,                 2.9225,                 1.5565,              0.0074026,              0.0074026,              0.0074026
                     29,                 2.3263,                 3.1717,                  1.815,                  2.213,                   3.52,                 1.6811,                0.73046,                 0.1536,                0.17375,                0.08414,                 1.8592,                 2.5152,                 1.6726,                 1.6905,                 2.8928,                  1.554,              0.0073027,              0.0073027,              0.0073027
                     30,                 2.3591,                 3.1829,                 1.8355,                 2.2298,                 3.5546,                 1.6923,                 0.7074,                0.15629,                0.17361,                0.08485,                 1.8497,                 2.5045,                 1.6673,                 1.6818,                 2.8803,                 1.5492,              0.0072028,              0.0072028,              0.0072028
                     31,                 2.3555,                 3.1965,                 1.8291,                 2.2237,                 3.5518,                 1.6833,                 0.7082,                0.15913,                0.17448,                0.08576,                 1.8475,                 2.5049,                 1.6652,                 1.6908,                 2.8815,                 1.5539,              0.0071029,              0.0071029,              0.0071029
                     32,                 2.3621,                 3.2218,                 1.8299,                 2.2265,                 3.5598,                 1.6762,                 0.6902,                0.16295,                0.17751,                0.08778,                 1.8397,                 2.4902,                 1.6609,                 1.6845,                  2.859,                 1.5452,               0.007003,               0.007003,               0.007003
                     33,                 2.3382,                 3.1821,                 1.8123,                 2.2229,                 3.5335,                 1.6805,                 0.6573,                0.16786,                0.18212,                0.08886,                 1.8356,                  2.468,                 1.6578,                 1.6814,                 2.8323,                 1.5439,              0.0069031,              0.0069031,              0.0069031
                     34,                   2.33,                 3.1945,                 1.8186,                 2.2095,                  3.546,                 1.6754,                0.66245,                0.17119,                 0.1835,                0.08978,                 1.8258,                 2.4496,                 1.6516,                 1.6796,                 2.8057,                 1.5394,              0.0068032,              0.0068032,              0.0068032
                     35,                 2.3363,                 3.1137,                 1.8145,                 2.2184,                  3.508,                 1.6797,                0.62465,                0.16981,                0.18047,                0.08841,                  1.835,                 2.4404,                  1.652,                 1.6816,                 2.8127,                 1.5374,              0.0067033,              0.0067033,              0.0067033
                     36,                 2.3293,                 3.1652,                 1.8122,                 2.2216,                 3.5292,                 1.6798,                0.61269,                0.17259,                0.17746,                0.08767,                 1.8423,                 2.4328,                 1.6546,                 1.6785,                 2.8185,                 1.5356,              0.0066034,              0.0066034,              0.0066034
                     37,                 2.3413,                 3.1953,                 1.8078,                 2.2185,                 3.5504,                  1.668,                0.61434,                0.17883,                0.18014,                 0.0886,                 1.8392,                 2.4228,                 1.6529,                 1.6646,                 2.8099,                 1.5368,              0.0065035,              0.0065035,              0.0065035
                     38,                 2.3244,                 3.1374,                 1.8107,                 2.2085,                 3.5205,                 1.6735,                0.60349,                0.18751,                0.18608,                0.09076,                 1.8319,                 2.4122,                 1.6486,                 1.6663,                  2.792,                 1.5339,              0.0064036,              0.0064036,              0.0064036
                     39,                  2.329,                 3.1403,                 1.8207,                 2.2069,                 3.5148,                 1.6721,                0.62343,                0.19197,                0.18846,                0.09224,                 1.8227,                 2.3962,                 1.6452,                 1.6584,                 2.7683,                 1.5248,              0.0063037,              0.0063037,              0.0063037
                     40,                 2.2959,                 3.1136,                 1.7967,                 2.1776,                 3.4696,                 1.6544,                0.60674,                 0.1952,                0.18737,                0.09259,                 1.8159,                 2.3892,                 1.6412,                 1.6615,                 2.7447,                 1.5214,              0.0062038,              0.0062038,              0.0062038
                     41,                 2.3033,                 3.0579,                 1.8019,                  2.207,                 3.4558,                 1.6733,                0.59956,                0.19313,                0.18442,                 0.0918,                 1.8222,                 2.4013,                 1.6462,                 1.6671,                 2.7641,                 1.5259,              0.0061039,              0.0061039,              0.0061039
                     42,                 2.2951,                 3.1079,                 1.7861,                 2.1901,                 3.4593,                 1.6455,                0.59043,                 0.1972,                0.18977,                0.09451,                 1.8213,                 2.3898,                 1.6471,                  1.666,                   2.75,                 1.5246,               0.006004,               0.006004,               0.006004
