                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7592,                 36.714,                 3.0029,                 3.0277,                 59.236,                 2.5377,                  3e-05,                0.52946,                0.00201,                0.00042,                 3.0002,                 9.3145,                 2.4752,                 2.5247,                 10.868,                 2.2072,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.8507,                 4.4196,                  2.184,                    2.6,                 4.6498,                 1.9844,                0.82534,                0.03247,                0.01998,                0.00602,                  2.497,                 3.9863,                 2.0908,                 2.2021,                 4.1122,                 1.9429,              0.0065996,              0.0065996,              0.0065996
                      3,                 2.7647,                 4.2612,                 2.1111,                 2.5487,                 4.5221,                 1.9613,                  9e-05,                0.81439,                0.04815,                0.01468,                 2.2645,                 3.4019,                 1.9664,                 2.0154,                 3.7627,                 1.8423,              0.0098009,              0.0098009,              0.0098009
                      4,                 2.7172,                 4.1186,                 2.0805,                 2.5539,                 4.3619,                 1.9293,                0.89156,                0.03718,                0.08074,                 0.0288,                 2.1763,                  3.203,                 1.9031,                 1.9583,                  3.498,                 1.7425,               0.009703,               0.009703,               0.009703
                      5,                 2.6303,                 3.9539,                  2.013,                 2.4644,                 4.2185,                  1.849,                0.87741,                0.04471,                0.07629,                0.02887,                 2.1145,                 3.1385,                 1.8642,                 1.8924,                 3.4022,                 1.6934,               0.009703,               0.009703,               0.009703
                      6,                 2.6368,                 3.8893,                 2.0289,                 2.4633,                 4.1748,                 1.8662,                0.89423,                0.02824,                0.06884,                0.02656,                  2.172,                 3.3971,                 1.9052,                 1.8883,                 3.6788,                 1.7009,               0.009604,               0.009604,               0.009604
                      7,                 2.5703,                 3.8138,                  1.977,                 2.3976,                 4.0963,                  1.808,                0.90109,                0.02965,                0.07395,                0.02887,                 2.1531,                 3.3429,                 1.8925,                 1.9081,                 3.6453,                 1.7003,               0.009505,               0.009505,               0.009505
                      8,                 2.5787,                 3.8557,                 1.9852,                 2.4218,                 4.1262,                 1.8183,                0.90437,                0.03012,                0.07493,                0.02921,                 2.1578,                 3.3293,                 1.8929,                 1.9203,                 3.6486,                 1.7038,               0.009406,               0.009406,               0.009406
                      9,                   2.54,                 3.7274,                 1.9582,                 2.3848,                 4.0161,                 1.8037,                0.91184,                0.02925,                0.08034,                0.03133,                 2.1471,                 3.2901,                 1.8845,                 1.9118,                 3.6108,                 1.6933,               0.009307,               0.009307,               0.009307
