                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0337,                 12.925,                 1.5458,                 1.4412,                 13.893,                  1.164,                  4e-05,                0.66249,                0.00387,                 0.0009,                 1.8007,                 4.0858,                 1.4894,                 1.4242,                 3.6978,                 1.2963,              0.0033331,              0.0033331,              0.0033331
                      2,                  1.848,                 3.7529,                 1.3497,                 1.5223,                 3.3828,                 1.1434,                  5e-05,                0.76413,                0.01146,                0.00369,                 1.7251,                  3.946,                 1.4594,                 1.3649,                 3.5353,                 1.2415,              0.0066004,              0.0066004,              0.0066004
                      3,                 1.8274,                  3.444,                  1.328,                 1.5003,                 3.0605,                 1.1261,                  3e-05,                0.56208,                0.01176,                0.00284,                 1.8612,                 5.0564,                 1.6769,                 1.4297,                 4.5789,                 1.3674,              0.0098017,              0.0098017,              0.0098017
