                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6238,                 2.0646,                 1.3125,                 1.5771,                 2.0749,                  1.229,                0.59697,                0.33194,                0.35878,                0.17408,                 1.5329,                 1.8005,                 1.3688,                 1.4571,                  1.861,                 1.3028,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.8981,                 2.6402,                  1.475,                 1.7834,                 2.6411,                 1.3578,                0.55958,                 0.2802,                0.26441,                0.13339,                 1.5806,                 2.0471,                 1.4007,                 1.4464,                 2.1071,                 1.3228,              0.0066001,              0.0066001,              0.0066001
                      3,                 2.1577,                 3.3017,                  1.631,                 1.9345,                 3.2554,                 1.4678,                0.89168,                0.10118,                0.13644,                0.06856,                 1.6654,                 2.9281,                  1.488,                 1.4522,                 2.9964,                 1.3483,              0.0098015,              0.0098015,              0.0098015
                      4,                 2.2379,                 3.4808,                 1.6759,                 2.0129,                 3.4158,                 1.5101,                0.95039,                0.02853,                 0.1054,                0.05042,                 1.7746,                 3.4543,                 1.5653,                 1.5627,                 3.4666,                 1.4067,               0.009703,               0.009703,               0.009703
                      5,                 2.1717,                  3.336,                 1.6438,                 1.9628,                 3.2978,                 1.4889,                0.93244,                  0.048,                 0.1138,                0.05523,                 1.7383,                 3.2394,                 1.5435,                 1.5274,                 3.2739,                 1.3823,               0.009703,               0.009703,               0.009703
                      6,                 2.1678,                 3.3296,                 1.6395,                  1.971,                 3.2948,                 1.4884,                0.91391,                0.07409,                0.12811,                 0.0614,                 1.7043,                 3.0642,                 1.5158,                 1.5101,                 3.1279,                 1.3666,               0.009604,               0.009604,               0.009604
                      7,                 2.1662,                 3.3115,                 1.6519,                 1.9696,                 3.3015,                 1.5056,                0.89724,                0.09129,                  0.136,                0.06588,                 1.6919,                 2.9137,                 1.5039,                 1.4929,                 2.9988,                 1.3583,               0.009505,               0.009505,               0.009505
                      8,                  2.176,                 3.3075,                 1.6406,                 1.9689,                 3.2725,                 1.4824,                 0.8829,                0.10965,                0.13862,                 0.0673,                  1.707,                 2.8339,                 1.5081,                 1.5074,                 2.8945,                 1.3631,               0.009406,               0.009406,               0.009406
                      9,                 2.1902,                 3.2865,                 1.6557,                 1.9768,                 3.2831,                 1.4963,                0.88219,                0.11765,                0.14409,                0.07077,                 1.6859,                  2.757,                 1.4966,                 1.4905,                 2.8122,                 1.3476,               0.009307,               0.009307,               0.009307
                     10,                 2.1493,                 3.3144,                 1.6285,                 1.9458,                  3.287,                 1.4738,                0.74936,                0.11374,                0.14762,                0.07008,                 1.6853,                 2.7307,                 1.4972,                 1.4847,                 2.8084,                 1.3424,               0.009208,               0.009208,               0.009208
                     11,                 2.1737,                 3.2655,                 1.6417,                 1.9737,                   3.25,                 1.4826,                0.77147,                0.11703,                0.15262,                0.07354,                 1.6744,                 2.6763,                 1.4917,                 1.4774,                 2.7478,                 1.3416,               0.009109,               0.009109,               0.009109
                     12,                   2.15,                 3.2424,                  1.627,                  1.947,                 3.2136,                 1.4718,                 0.6866,                0.12659,                0.15693,                0.07591,                 1.6802,                 2.6622,                  1.492,                 1.4879,                 2.7386,                  1.348,                0.00901,                0.00901,                0.00901
                     13,                 2.1705,                 3.2515,                 1.6442,                 1.9576,                 3.2425,                 1.4832,                0.72317,                0.13164,                0.15668,                0.07623,                 1.6863,                 2.6036,                 1.4934,                 1.4887,                 2.6862,                 1.3484,               0.008911,               0.008911,               0.008911
                     14,                 2.1437,                 3.2424,                 1.6207,                 1.9527,                 3.2155,                 1.4666,                0.73741,                0.13303,                0.16192,                 0.0797,                 1.6737,                 2.5922,                 1.4865,                 1.4892,                 2.6603,                 1.3387,               0.008812,               0.008812,               0.008812
                     15,                 2.1491,                 3.2062,                 1.6371,                 1.9495,                 3.2356,                 1.4825,                0.73314,                0.13853,                0.16108,                0.07994,                 1.6744,                 2.5483,                 1.4846,                 1.4817,                  2.633,                 1.3374,               0.008713,               0.008713,               0.008713
                     16,                 2.1434,                 3.1912,                 1.6225,                 1.9499,                 3.1795,                 1.4732,                0.71635,                0.13478,                0.16236,                0.07935,                 1.6784,                 2.5146,                 1.4873,                 1.4721,                 2.6079,                 1.3322,               0.008614,               0.008614,               0.008614
                     17,                 2.1437,                 3.2324,                 1.6144,                 1.9408,                 3.2096,                 1.4629,                0.71873,                0.13948,                0.16879,                 0.0822,                 1.6685,                 2.5339,                 1.4807,                 1.4493,                 2.6276,                 1.3328,               0.008515,               0.008515,               0.008515
                     18,                 2.1501,                 3.2124,                 1.6245,                 1.9417,                  3.209,                 1.4627,                 0.7625,                0.14708,                0.17117,                0.08334,                 1.6566,                 2.5291,                 1.4787,                 1.4478,                 2.6285,                  1.331,               0.008416,               0.008416,               0.008416
                     19,                 2.1431,                  3.207,                 1.6225,                 1.9462,                 3.2009,                 1.4617,                0.73835,                0.14379,                0.16545,                0.08061,                 1.6664,                 2.5563,                 1.4809,                 1.4543,                 2.6459,                  1.332,               0.008317,               0.008317,               0.008317
                     20,                 2.1324,                 3.2119,                 1.6212,                 1.9344,                 3.2053,                 1.4622,                0.75454,                 0.1516,                 0.1697,                0.08217,                 1.6651,                 2.5517,                 1.4789,                 1.4547,                 2.6323,                 1.3276,               0.008218,               0.008218,               0.008218
                     21,                 2.1128,                 3.2331,                 1.6009,                 1.9083,                 3.1906,                  1.444,                0.75038,                0.14884,                0.16945,                0.08293,                 1.6606,                 2.5593,                 1.4776,                 1.4552,                  2.628,                 1.3312,               0.008119,               0.008119,               0.008119
                     22,                 2.1329,                 3.2025,                 1.6137,                 1.9383,                 3.2093,                 1.4555,                0.56468,                0.15806,                0.16845,                0.08245,                 1.6618,                 2.5438,                 1.4784,                 1.4642,                 2.6064,                 1.3347,                0.00802,                0.00802,                0.00802
                     23,                 2.1306,                 3.1611,                 1.6169,                 1.9224,                 3.1534,                 1.4519,                0.63752,                0.16581,                0.16596,                0.08162,                 1.6501,                 2.5513,                 1.4759,                  1.457,                 2.6029,                 1.3288,               0.007921,               0.007921,               0.007921
