                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8907,                 2.2389,                 1.5435,                 1.8869,                 2.5633,                 1.4612,                0.41627,                 0.3469,                0.32941,                0.15813,                 1.7989,                 1.9491,                 1.6138,                 1.7311,                 2.1334,                 1.5543,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.1554,                 2.7983,                 1.7047,                 2.0732,                 3.0982,                 1.5808,                0.45992,                0.20866,                0.17259,                 0.0763,                 2.0068,                 2.6099,                 1.7825,                 1.8529,                 2.9121,                 1.6679,              0.0065989,              0.0065989,              0.0065989
                      3,                 2.4343,                 3.4055,                 1.8831,                 2.2982,                 3.7044,                 1.7386,                0.73024,                0.15256,                0.14802,                0.05635,                 2.0677,                 2.8095,                 1.8146,                 1.9189,                 3.1813,                 1.7101,              0.0097989,              0.0097989,              0.0097989
                      4,                 2.5072,                 3.5165,                  1.929,                 2.3675,                 3.8386,                 1.7862,                0.61794,                0.14986,                0.16276,                0.07095,                 1.9581,                  2.584,                  1.738,                 1.7972,                 2.9675,                 1.6155,                 0.0097,                 0.0097,                 0.0097
                      5,                 2.4208,                 3.4069,                 1.8687,                 2.2935,                 3.7605,                 1.7304,                 0.8578,                 0.1372,                0.15748,                0.07231,                 1.8853,                 2.5238,                 1.6971,                 1.7346,                 2.9155,                 1.5726,                 0.0097,                 0.0097,                 0.0097
                      6,                 2.4538,                 3.3753,                 1.8993,                 2.3235,                 3.7461,                 1.7606,                0.72727,                0.14465,                0.16812,                0.07983,                 1.8797,                 2.5217,                 1.6934,                 1.7326,                 2.8904,                 1.5688,                 0.0096,                 0.0096,                 0.0096
                      7,                 2.4179,                 3.3652,                 1.8685,                 2.2897,                  3.719,                 1.7362,                0.73705,                0.13832,                0.16853,                0.08089,                  1.874,                 2.5152,                 1.6879,                 1.7169,                 2.8769,                 1.5619,                 0.0095,                 0.0095,                 0.0095
                      8,                 2.4334,                 3.3948,                  1.881,                 2.2986,                 3.7516,                  1.739,                0.75993,                0.13948,                0.16978,                0.08095,                 1.8709,                 2.5185,                 1.6872,                 1.7173,                 2.8748,                 1.5665,              0.0094001,              0.0094001,              0.0094001
                      9,                 2.4071,                 3.3364,                 1.8673,                 2.2863,                 3.6824,                 1.7329,                0.74245,                0.13929,                0.17149,                0.08114,                 1.8664,                 2.5154,                 1.6861,                 1.7247,                 2.8714,                 1.5683,              0.0093001,              0.0093001,              0.0093001
                     10,                 2.4073,                 3.3257,                 1.8679,                 2.2887,                 3.6853,                 1.7418,                 0.7679,                0.13853,                0.16854,                0.08055,                 1.8645,                 2.5233,                 1.6858,                  1.724,                 2.8785,                 1.5672,              0.0092001,              0.0092001,              0.0092001
                     11,                 2.4185,                 3.3664,                 1.8703,                 2.2758,                 3.7149,                 1.7271,                0.77802,                0.13477,                0.16563,                0.08013,                  1.862,                 2.5329,                 1.6862,                 1.7237,                 2.8991,                 1.5661,              0.0091001,              0.0091001,              0.0091001
                     12,                 2.4281,                 3.3298,                 1.8876,                 2.2976,                 3.7125,                 1.7473,                0.79909,                0.13618,                0.16751,                0.07977,                 1.8599,                 2.5618,                 1.6857,                 1.7149,                  2.915,                 1.5677,              0.0090001,              0.0090001,              0.0090001
                     13,                 2.4376,                 3.3739,                  1.876,                 2.2772,                 3.7397,                 1.7207,                0.77008,                0.13712,                0.16255,                0.07769,                  1.871,                 2.5872,                 1.6916,                 1.7176,                 2.9509,                 1.5682,              0.0089001,              0.0089001,              0.0089001
                     14,                 2.4114,                 3.3687,                 1.8675,                 2.2705,                 3.7158,                 1.7273,                0.76503,                0.13148,                0.15722,                0.07554,                 1.8737,                 2.6048,                 1.6964,                 1.7185,                 2.9735,                 1.5709,              0.0088001,              0.0088001,              0.0088001
                     15,                 2.4127,                 3.3273,                 1.8593,                 2.2791,                  3.682,                 1.7205,                0.75582,                0.13574,                0.15763,                  0.075,                 1.8735,                 2.6007,                 1.6929,                 1.7005,                 2.9747,                 1.5684,              0.0087001,              0.0087001,              0.0087001
                     16,                 2.3978,                 3.3248,                 1.8477,                 2.2641,                 3.6593,                 1.7049,                0.74842,                0.12644,                0.14439,                0.06832,                 1.8956,                 2.6353,                 1.6999,                 1.7292,                 2.9999,                 1.5803,              0.0086001,              0.0086001,              0.0086001
                     17,                 2.3619,                 3.2639,                 1.8434,                 2.2409,                 3.6206,                 1.7049,                 0.7882,                0.12771,                0.14797,                0.07057,                 1.8857,                 2.6199,                 1.6984,                 1.7192,                 2.9954,                 1.5722,              0.0085001,              0.0085001,              0.0085001
                     18,                 2.3846,                 3.3001,                 1.8502,                 2.2657,                 3.6574,                 1.7134,                0.72894,                0.12959,                0.15011,                0.07171,                 1.8876,                 2.5999,                 1.6979,                 1.7207,                 2.9718,                 1.5696,              0.0084002,              0.0084002,              0.0084002
                     19,                 2.3858,                 3.2925,                 1.8408,                 2.2614,                 3.6347,                  1.704,                0.55292,                0.13273,                0.15408,                0.07343,                 1.8816,                 2.5795,                 1.6925,                 1.7101,                 2.9541,                 1.5677,              0.0083002,              0.0083002,              0.0083002
                     20,                  2.387,                 3.2961,                 1.8488,                  2.256,                 3.6521,                 1.7109,                0.58656,                0.13826,                0.15749,                0.07602,                 1.8796,                 2.5733,                 1.6902,                 1.6933,                 2.9442,                 1.5606,              0.0082002,              0.0082002,              0.0082002
                     21,                 2.3768,                 3.2426,                 1.8452,                 2.2639,                 3.6153,                 1.7092,                0.63824,                0.14161,                0.16261,                0.07782,                 1.8781,                 2.5585,                 1.6888,                 1.6851,                 2.9259,                  1.558,              0.0081002,              0.0081002,              0.0081002
                     22,                 2.3828,                 3.2155,                 1.8516,                 2.2579,                 3.6159,                  1.707,                0.62171,                0.14194,                0.16077,                  0.077,                 1.8726,                 2.5418,                 1.6843,                 1.6821,                 2.9152,                 1.5567,              0.0080002,              0.0080002,              0.0080002
                     23,                 2.3596,                 3.2557,                 1.8384,                 2.2293,                 3.6028,                 1.6975,                0.65137,                0.14352,                0.16245,                0.07748,                 1.8693,                 2.5448,                 1.6822,                 1.6786,                 2.9189,                 1.5506,              0.0079002,              0.0079002,              0.0079002
                     24,                 2.3532,                 3.2651,                 1.8241,                 2.2341,                 3.6054,                 1.6845,                0.61126,                 0.1514,                0.16223,                0.07847,                 1.8654,                 2.5261,                 1.6809,                 1.6803,                 2.9015,                  1.548,              0.0078002,              0.0078002,              0.0078002
                     25,                 2.3755,                 3.2732,                 1.8575,                 2.2586,                 3.6345,                 1.7093,                0.62347,                0.15016,                0.15656,                0.07605,                 1.8688,                 2.5364,                 1.6818,                 1.6832,                 2.9192,                 1.5502,              0.0077002,              0.0077002,              0.0077002
                     26,                 2.3696,                 3.2546,                 1.8327,                 2.2391,                 3.6111,                 1.6919,                0.65737,                0.15324,                0.15731,                0.07594,                 1.8769,                  2.541,                 1.6817,                 1.6871,                 2.9207,                 1.5538,              0.0076002,              0.0076002,              0.0076002
                     27,                 2.3592,                  3.223,                 1.8224,                 2.2401,                 3.5735,                  1.687,                 0.6519,                0.16207,                0.16662,                0.07949,                 1.8688,                 2.5211,                 1.6794,                 1.6872,                 2.8864,                  1.553,              0.0075002,              0.0075002,              0.0075002
                     28,                 2.3509,                 3.2364,                 1.8244,                 2.2257,                 3.5831,                 1.6867,                0.64711,                0.16414,                0.16973,                 0.0813,                  1.861,                  2.507,                  1.677,                 1.6972,                 2.8582,                 1.5502,              0.0074003,              0.0074003,              0.0074003
                     29,                 2.3345,                 3.1744,                 1.8254,                 2.2155,                 3.5289,                 1.6828,                0.64678,                0.17123,                0.17597,                0.08488,                 1.8549,                 2.4868,                 1.6722,                 1.6955,                 2.8306,                   1.55,              0.0073003,              0.0073003,              0.0073003
                     30,                 2.3459,                  3.214,                 1.8297,                 2.2125,                 3.5929,                 1.6921,                0.62896,                0.16804,                0.17638,                0.08564,                 1.8516,                  2.479,                 1.6699,                  1.697,                 2.8267,                 1.5535,              0.0072003,              0.0072003,              0.0072003
                     31,                 2.3505,                 3.1871,                 1.8292,                 2.2091,                 3.5645,                 1.6767,                0.64366,                0.16521,                0.17877,                0.08702,                 1.8471,                 2.4797,                 1.6664,                 1.6913,                 2.8326,                 1.5488,              0.0071003,              0.0071003,              0.0071003
                     32,                 2.3602,                 3.1989,                 1.8281,                 2.2194,                 3.5416,                 1.6757,                0.63495,                0.17363,                 0.1805,                0.08726,                 1.8394,                 2.4691,                 1.6639,                 1.6751,                 2.8213,                 1.5419,              0.0070003,              0.0070003,              0.0070003
                     33,                 2.3373,                 3.1763,                  1.812,                  2.223,                 3.5471,                 1.6767,                0.64413,                0.16835,                0.18002,                0.08725,                 1.8363,                 2.4506,                 1.6599,                 1.6833,                 2.7947,                 1.5394,              0.0069003,              0.0069003,              0.0069003
                     34,                 2.3302,                 3.1681,                  1.817,                 2.1977,                 3.5351,                  1.672,                0.62398,                0.17303,                0.18164,                0.08882,                 1.8266,                 2.4296,                 1.6536,                  1.673,                  2.775,                 1.5358,              0.0068003,              0.0068003,              0.0068003
                     35,                 2.3372,                 3.1203,                 1.8182,                 2.2315,                  3.494,                 1.6767,                0.62233,                0.17684,                0.18769,                0.09108,                 1.8253,                 2.4115,                 1.6506,                 1.6721,                 2.7532,                 1.5339,              0.0067003,              0.0067003,              0.0067003
                     36,                 2.3363,                 3.1861,                 1.8195,                 2.2087,                 3.5563,                 1.6741,                0.60469,                0.18147,                0.17653,                 0.0863,                 1.8538,                 2.4513,                 1.6616,                 1.6824,                 2.7875,                 1.5379,              0.0066003,              0.0066003,              0.0066003
