                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6101,                 2.0731,                 1.3042,                 1.5517,                 2.1438,                 1.2159,                0.39784,                0.35888,                0.36494,                0.19227,                 1.5301,                 1.8156,                 1.3743,                 1.4433,                 1.8226,                 1.2948,              0.0033328,              0.0033328,              0.0033328
                      2,                 1.8969,                 2.6435,                 1.4762,                 1.7544,                 2.6484,                 1.3407,                0.63961,                0.28692,                0.30095,                0.15311,                 1.5641,                 2.0379,                 1.4007,                 1.4656,                 2.0494,                  1.319,              0.0066001,              0.0066001,              0.0066001
                      3,                 2.1546,                 3.3096,                 1.6306,                  1.941,                 3.2569,                 1.4651,                0.89457,                0.11186,                0.16343,                 0.0803,                 1.6765,                 2.9183,                 1.4905,                 1.4746,                 2.8941,                 1.3525,              0.0098015,              0.0098015,              0.0098015
                      4,                 2.2368,                  3.499,                 1.6761,                 2.0183,                  3.453,                 1.5162,                0.93462,                0.04166,                0.11924,                0.05643,                 1.7438,                 3.4707,                 1.5474,                 1.5317,                 3.4473,                 1.3943,               0.009703,               0.009703,               0.009703
                      5,                 2.1905,                 3.3472,                 1.6521,                 1.9672,                 3.3106,                 1.4901,                 0.9281,                0.05976,                 0.1283,                0.06018,                 1.7393,                 3.2347,                 1.5358,                 1.5272,                 3.2605,                 1.3753,               0.009703,               0.009703,               0.009703
                      6,                  2.182,                  3.336,                 1.6427,                 1.9755,                 3.2871,                 1.4874,                0.90225,                0.09035,                0.13859,                0.06619,                 1.7119,                 3.0214,                 1.5178,                 1.5175,                 3.0649,                 1.3672,               0.009604,               0.009604,               0.009604
                      7,                 2.1784,                 3.3518,                 1.6593,                 1.9808,                 3.4177,                 1.5188,                0.90009,                0.07778,                0.12903,                0.06166,                 1.6953,                 2.8776,                 1.5073,                 1.4793,                 3.0078,                 1.3529,               0.009505,               0.009505,               0.009505
                      8,                 2.1977,                 3.3491,                 1.6498,                 1.9789,                 3.3319,                 1.4895,                 0.8885,                0.09224,                0.13117,                0.06342,                 1.6963,                 2.8103,                  1.504,                 1.4864,                 2.9068,                 1.3476,               0.009406,               0.009406,               0.009406
                      9,                 2.1936,                 3.2943,                 1.6565,                 1.9723,                 3.2965,                 1.4947,                0.88226,                0.10871,                0.13786,                0.06621,                  1.685,                 2.7267,                 1.4981,                  1.495,                 2.8189,                 1.3496,               0.009307,               0.009307,               0.009307
                     10,                 2.1548,                   3.32,                 1.6298,                 1.9615,                 3.2706,                 1.4813,                0.81685,                 0.1166,                0.14183,                0.06927,                 1.6866,                 2.6976,                  1.496,                 1.4897,                 2.7769,                 1.3537,               0.009208,               0.009208,               0.009208
                     11,                 2.1828,                 3.3174,                 1.6491,                 1.9739,                 3.3068,                 1.4846,                0.79976,                 0.1127,                0.14554,                0.06978,                 1.6946,                 2.7421,                 1.5055,                 1.4898,                 2.8161,                 1.3546,               0.009109,               0.009109,               0.009109
                     12,                 2.1684,                 3.2833,                 1.6341,                 1.9655,                 3.2551,                 1.4838,                0.79578,                0.11486,                0.13839,                0.06681,                  1.695,                 2.7369,                  1.502,                 1.4819,                 2.8204,                 1.3545,                0.00901,                0.00901,                0.00901
                     13,                 2.1858,                   3.29,                 1.6491,                 1.9645,                 3.2655,                  1.493,                0.76468,                0.10983,                0.14321,                0.06977,                 1.6867,                 2.7021,                 1.4955,                 1.4765,                 2.8183,                 1.3537,               0.008911,               0.008911,               0.008911
                     14,                 2.1676,                 3.2615,                 1.6325,                 1.9593,                 3.2377,                 1.4702,                0.77186,                0.11879,                0.15286,                0.07365,                  1.685,                 2.6453,                 1.4941,                 1.4751,                 2.7588,                 1.3503,               0.008812,               0.008812,               0.008812
                     15,                 2.1625,                 3.2426,                 1.6426,                 1.9672,                 3.2457,                 1.4899,                0.77963,                0.13463,                0.15393,                0.07478,                 1.6805,                 2.6491,                 1.4931,                 1.4691,                 2.7611,                 1.3435,               0.008713,               0.008713,               0.008713
                     16,                 2.1547,                 3.2402,                 1.6337,                 1.9552,                 3.2062,                 1.4742,                0.77495,                0.13275,                0.15651,                0.07513,                  1.677,                 2.6263,                  1.492,                 1.4878,                 2.7282,                 1.3467,               0.008614,               0.008614,               0.008614
                     17,                 2.1684,                 3.2631,                 1.6296,                 1.9487,                 3.2272,                 1.4599,                0.76395,                0.14637,                0.16133,                0.07796,                 1.6671,                 2.6012,                  1.484,                 1.4776,                   2.69,                 1.3454,               0.008515,               0.008515,               0.008515
                     18,                 2.1684,                  3.227,                 1.6311,                 1.9687,                 3.2169,                 1.4688,                0.77994,                0.14566,                0.16163,                 0.0783,                 1.6738,                 2.5774,                 1.4866,                 1.4811,                 2.6504,                 1.3421,               0.008416,               0.008416,               0.008416
                     19,                  2.151,                 3.1997,                 1.6309,                 1.9526,                 3.1955,                 1.4695,                0.77179,                0.15071,                0.16538,                   0.08,                 1.6692,                 2.5652,                 1.4853,                 1.4787,                 2.6326,                 1.3335,               0.008317,               0.008317,               0.008317
                     20,                 2.1533,                 3.2222,                 1.6328,                 1.9431,                 3.2111,                  1.469,                0.75461,                0.16563,                0.16749,                0.08152,                  1.669,                 2.5461,                 1.4836,                 1.4873,                 2.6015,                 1.3334,               0.008218,               0.008218,               0.008218
                     21,                 2.1446,                 3.2559,                 1.6174,                  1.928,                 3.2243,                 1.4494,                0.56937,                0.16671,                0.17078,                0.08235,                 1.6624,                 2.5324,                 1.4824,                 1.4748,                 2.5919,                 1.3328,               0.008119,               0.008119,               0.008119
                     22,                  2.149,                 3.2123,                 1.6209,                 1.9459,                 3.1965,                 1.4583,                   0.55,                0.16977,                0.16509,                 0.0798,                 1.6654,                 2.5157,                 1.4795,                 1.4779,                 2.5789,                 1.3348,                0.00802,                0.00802,                0.00802
                     23,                 2.1336,                 3.2107,                 1.6215,                  1.921,                 3.1836,                 1.4542,                0.54328,                0.17823,                0.16469,                0.07928,                 1.6702,                 2.5778,                 1.4832,                 1.4754,                 2.6393,                 1.3361,               0.007921,               0.007921,               0.007921
                     24,                 2.1278,                 3.1951,                 1.6135,                 1.9288,                 3.1811,                 1.4544,                 0.6126,                0.18831,                0.16843,                0.08203,                 1.6683,                 2.5419,                 1.4791,                 1.4828,                  2.601,                 1.3415,               0.007822,               0.007822,               0.007822
                     25,                 2.1496,                 3.1851,                 1.6278,                  1.936,                 3.1673,                 1.4634,                0.62583,                0.19677,                0.16666,                0.08274,                 1.6595,                 2.4968,                 1.4731,                 1.4702,                 2.5572,                 1.3365,               0.007723,               0.007723,               0.007723
                     26,                 2.1133,                 3.1862,                 1.6045,                 1.9253,                 3.1831,                 1.4543,                0.59739,                0.18626,                0.17226,                0.08705,                 1.6471,                 2.4802,                 1.4671,                 1.4428,                 2.5416,                 1.3249,               0.007624,               0.007624,               0.007624
                     27,                 2.1297,                 3.2058,                 1.6114,                 1.9242,                 3.2047,                 1.4517,                0.74664,                0.18084,                0.17692,                 0.0893,                  1.634,                  2.502,                 1.4616,                 1.4324,                 2.5594,                 1.3201,               0.007525,               0.007525,               0.007525
                     28,                 2.1254,                 3.1714,                 1.6124,                 1.9133,                 3.1553,                 1.4481,                0.73654,                0.16697,                0.17406,                0.08715,                 1.6294,                 2.5119,                 1.4593,                 1.4399,                 2.5753,                  1.321,               0.007426,               0.007426,               0.007426
                     29,                 2.1425,                 3.1452,                 1.6184,                 1.9442,                 3.1446,                 1.4567,                 0.6617,                0.17785,                0.17455,                0.08797,                 1.6358,                 2.4664,                 1.4603,                 1.4576,                 2.5324,                 1.3206,               0.007327,               0.007327,               0.007327
                     30,                 2.1107,                 3.1203,                 1.6045,                 1.9162,                 3.1158,                 1.4486,                0.62503,                 0.1895,                0.17707,                0.08933,                  1.631,                 2.4479,                 1.4565,                 1.4481,                 2.5048,                 1.3198,               0.007228,               0.007228,               0.007228
                     31,                 2.1163,                 3.0768,                 1.6075,                  1.919,                  3.096,                  1.445,                0.62794,                0.19044,                0.17931,                0.08964,                 1.6282,                 2.4146,                 1.4534,                 1.4463,                 2.4868,                 1.3196,               0.007129,               0.007129,               0.007129
