                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
1,2.0687,3.0795,1.5716,1.8136,3.1255,1.3693,0.72233,0.13814,0.11585,0.04863,1.842,2.6747,1.5745,1.5868,2.7325,1.4128,0.0033328,0.0033328,0.0033328
2,2.084,3.1591,1.584,1.8437,3.1576,1.3869,0.65607,0.12565,0.12611,0.05534,1.7783,2.6924,1.5505,1.546,2.7303,1.3852,0.0066001,0.0066001,0.0066001
3,2.2443,3.617,1.6852,1.9752,3.5328,1.4859,0.87157,0.0813,0.09964,0.0415,1.839,3.0348,1.6028,1.5572,3.002,1.3995,0.0098015,0.0098015,0.0098015
4,2.348,3.8309,1.754,2.0811,3.7325,1.5701,0.91661,0.01711,0.06245,0.02604,1.8939,3.6349,1.6633,1.6072,3.559,1.4489,0.009703,0.009703,0.009703
5,2.3001,3.7149,1.7271,2.0471,3.6071,1.5395,0.31538,0.20045,0.06242,0.02601,1.8884,3.753,1.661,1.6205,3.6263,1.4491,0.009703,0.009703,0.009703
6,2.2908,3.6702,1.719,2.0371,3.5712,1.536,0.92232,0.02024,0.07298,0.03113,1.8715,3.638,1.6462,1.6045,3.5076,1.4339,0.009604,0.009604,0.009604
7,2.2849,3.6504,1.7269,2.0453,3.5746,1.55,0.92056,0.00753,0.08185,0.03535,1.8573,3.4432,1.6313,1.5893,3.3458,1.4247,0.009505,0.009505,0.009505
8,2.298,3.6331,1.7107,2.049,3.5466,1.5361,0.92773,0.02329,0.08724,0.03693,1.8526,3.425,1.6234,1.5802,3.3446,1.4252,0.009406,0.009406,0.009406
9,2.2973,3.6137,1.7205,2.0486,3.5518,1.5469,0.91624,0.03853,0.09269,0.03916,1.8535,3.3056,1.6169,1.5754,3.2416,1.4219,0.009307,0.009307,0.009307
10,2.2506,3.6143,1.6924,2.0107,3.5369,1.5204,0.90291,0.05788,0.10217,0.04361,1.8422,3.209,1.6108,1.5579,3.1718,1.4153,0.009208,0.009208,0.009208
11,2.2676,3.5761,1.6958,2.0193,3.5079,1.5229,0.89648,0.07153,0.10558,0.04565,1.8312,3.1135,1.6004,1.5589,3.0999,1.4091,0.009109,0.009109,0.009109
12,2.2582,3.5291,1.6883,2.0086,3.4608,1.5182,0.89771,0.08659,0.11486,0.04998,1.8202,3.0228,1.5896,1.5579,3.0434,1.4031,0.00901,0.00901,0.00901
13,2.2541,3.5453,1.6976,2.0045,3.4777,1.5105,0.89022,0.08847,0.11919,0.05207,1.8075,2.9595,1.5822,1.542,3.0085,1.3961,0.008911,0.008911,0.008911
14,2.2379,3.5148,1.6766,2.0131,3.4498,1.5085,0.88315,0.09788,0.12249,0.05418,1.7958,2.9111,1.5704,1.5361,2.943,1.3871,0.008812,0.008812,0.008812
