                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9224,                 2.3025,                 1.5628,                 1.9092,                 2.6203,                 1.4738,                0.53304,                0.26886,                0.26501,                0.13033,                 1.8278,                 2.3585,                 1.6219,                  1.753,                 2.4847,                 1.5458,              0.0033322,              0.0033322,              0.0033322
                      2,                 2.1777,                  2.855,                 1.7203,                 2.0985,                  3.153,                 1.5944,                0.43926,                0.20585,                0.18484,                0.07787,                 1.9828,                  2.634,                 1.7405,                 1.8657,                 2.8482,                  1.645,              0.0065996,              0.0065996,              0.0065996
                      3,                 2.4514,                 3.4465,                 1.8975,                 2.2963,                 3.7752,                  1.739,                0.81501,                0.12503,                0.13186,                0.05223,                 2.0622,                 2.8171,                 1.8164,                  1.861,                 3.2742,                 1.6837,              0.0098009,              0.0098009,              0.0098009
                      4,                 2.5153,                 3.5641,                 1.9362,                 2.3585,                 3.8848,                 1.7819,                0.61251,                0.13716,                0.14912,                0.06271,                 1.9696,                 2.6689,                 1.7485,                 1.7734,                 3.0335,                  1.605,               0.009703,               0.009703,               0.009703
                      5,                  2.448,                 3.4538,                 1.8832,                 2.3077,                 3.7926,                 1.7364,                0.77233,                0.13119,                0.14581,                0.06518,                 1.9168,                 2.5746,                 1.7116,                  1.739,                 2.9354,                 1.5796,               0.009703,               0.009703,               0.009703
                      6,                 2.4779,                 3.4505,                 1.9191,                 2.3386,                 3.8009,                 1.7722,                0.55591,                0.13282,                0.14941,                0.06933,                 1.8919,                 2.5952,                 1.7077,                 1.7237,                 2.9269,                 1.5735,               0.009604,               0.009604,               0.009604
                      7,                 2.4291,                 3.4324,                 1.8795,                 2.3112,                  3.759,                 1.7441,                   0.58,                 0.1293,                0.15523,                0.07186,                  1.891,                 2.6214,                 1.7057,                 1.7089,                 2.9325,                 1.5679,               0.009505,               0.009505,               0.009505
                      8,                 2.4697,                 3.4814,                    1.9,                  2.325,                 3.8206,                 1.7457,                0.54552,                0.12635,                0.15621,                0.07279,                 1.8958,                  2.636,                 1.7089,                 1.7274,                 2.9511,                 1.5736,               0.009406,               0.009406,               0.009406
                      9,                  2.431,                 3.3694,                 1.8836,                 2.2927,                 3.7108,                 1.7343,                0.54534,                0.12727,                0.15689,                0.07305,                 1.8983,                 2.6296,                 1.7085,                 1.7232,                 2.9552,                  1.569,               0.009307,               0.009307,               0.009307
                     10,                 2.4304,                  3.368,                  1.881,                 2.2951,                 3.7318,                 1.7376,                0.58754,                0.12822,                0.15609,                0.07272,                 1.8978,                 2.6134,                 1.7066,                 1.7264,                 2.9508,                 1.5694,               0.009208,               0.009208,               0.009208
                     11,                 2.4337,                 3.3987,                 1.8789,                 2.2942,                 3.7252,                 1.7325,                0.60537,                0.12634,                0.15816,                0.07387,                 1.8943,                  2.605,                 1.7058,                 1.7202,                 2.9551,                 1.5618,               0.009109,               0.009109,               0.009109
                     12,                  2.443,                 3.3691,                 1.8977,                 2.3076,                 3.7329,                 1.7534,                0.61392,                0.12339,                0.16234,                0.07589,                 1.8962,                 2.5937,                 1.7074,                 1.7314,                 2.9536,                  1.572,                0.00901,                0.00901,                0.00901
                     13,                  2.446,                 3.3796,                 1.8811,                 2.2948,                 3.7412,                 1.7303,                0.56515,                0.12065,                0.16208,                0.07595,                 1.8962,                 2.5811,                 1.7095,                 1.7314,                 2.9495,                 1.5733,               0.008911,               0.008911,               0.008911
