                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 2.1067,                  3.166,                 1.5998,                 1.9228,                 3.1453,                 1.4515,                0.68341,                0.16641,                0.17917,                0.08875,                 1.6396,                 2.5178,                 1.4643,                 1.4527,                 2.5829,                 1.3277,               0.007822,               0.007822,               0.007822
                     25,                 2.1277,                 3.1648,                 1.6167,                 1.9441,                 3.1477,                 1.4647,                0.62416,                0.18345,                0.18349,                0.09058,                 1.6264,                 2.4711,                 1.4579,                 1.4484,                 2.5375,                 1.3202,               0.007723,               0.007723,               0.007723
                     26,                 2.0991,                  3.154,                 1.5975,                 1.9153,                 3.1391,                 1.4522,                0.63872,                0.16848,                0.18686,                0.09353,                 1.6162,                 2.4408,                 1.4517,                 1.4434,                 2.5099,                 1.3128,               0.007624,               0.007624,               0.007624
                     27,                 2.1178,                 3.1799,                 1.6042,                 1.9194,                  3.186,                  1.454,                0.65156,                0.16055,                0.17481,                0.08932,                 1.6253,                 2.4995,                 1.4569,                 1.4495,                 2.5636,                  1.314,               0.007525,               0.007525,               0.007525
                     28,                 2.0988,                 3.1235,                 1.5978,                 1.9006,                 3.1187,                 1.4421,                0.61682,                0.17145,                0.18303,                0.09213,                 1.6236,                  2.467,                 1.4541,                 1.4432,                 2.5627,                 1.3184,               0.007426,               0.007426,               0.007426
                     29,                 2.1183,                 3.1266,                 1.6017,                 1.9366,                 3.1227,                  1.453,                0.60094,                0.18163,                0.18955,                 0.0952,                 1.6187,                 2.4174,                 1.4498,                 1.4359,                 2.4985,                 1.3152,               0.007327,               0.007327,               0.007327
                     30,                 2.0935,                  3.095,                 1.5962,                 1.9051,                 3.0994,                 1.4412,                0.63122,                0.18754,                0.19571,                0.09755,                 1.6159,                   2.37,                 1.4486,                 1.4344,                 2.4577,                 1.3077,               0.007228,               0.007228,               0.007228
                     31,                 2.0891,                 3.0615,                 1.5923,                 1.9083,                  3.068,                 1.4389,                 0.6017,                0.19589,                0.19508,                0.09735,                 1.6238,                 2.4083,                 1.4539,                 1.4442,                 2.5088,                 1.3168,               0.007129,               0.007129,               0.007129
                     32,                 2.0827,                  3.101,                 1.5755,                 1.8911,                 3.1021,                 1.4297,                 0.6064,                 0.2025,                  0.196,                0.09872,                 1.6273,                 2.3897,                 1.4508,                 1.4359,                  2.485,                 1.3083,                0.00703,                0.00703,                0.00703
                     33,                 2.0715,                   3.07,                 1.5846,                 1.8935,                 3.0646,                 1.4355,                0.61297,                0.20672,                0.19677,                0.09918,                 1.6264,                  2.364,                 1.4493,                 1.4439,                 2.4476,                 1.3129,               0.006931,               0.006931,               0.006931
                     34,                 2.0618,                 3.0776,                 1.5825,                 1.8927,                 3.0609,                 1.4343,                0.62723,                0.21232,                0.19716,                0.09945,                 1.6184,                 2.3636,                  1.447,                 1.4299,                 2.4556,                 1.3111,               0.006832,               0.006832,               0.006832
                     35,                 2.0695,                 3.0992,                 1.5744,                 1.8775,                 3.0751,                 1.4217,                0.61794,                0.20327,                0.19681,                0.09871,                 1.6179,                 2.3819,                 1.4465,                  1.433,                 2.4573,                 1.3135,               0.006733,               0.006733,               0.006733
                     36,                 2.0614,                 3.0492,                 1.5672,                 1.8777,                 3.0555,                 1.4139,                0.63024,                 0.2144,                0.20338,                0.10206,                 1.6149,                 2.3632,                 1.4442,                  1.442,                 2.4395,                 1.3142,               0.006634,               0.006634,               0.006634
                     37,                 2.0797,                 3.1025,                 1.5726,                 1.8817,                 3.0823,                 1.4129,                 0.6431,                0.21344,                0.20541,                0.10249,                 1.6113,                   2.36,                 1.4404,                 1.4241,                 2.4361,                 1.3057,               0.006535,               0.006535,               0.006535
                     38,                 2.0739,                 3.0333,                 1.5795,                 1.8907,                 3.0352,                 1.4268,                0.60962,                0.21211,                0.20836,                0.10545,                 1.6094,                 2.3574,                 1.4386,                 1.4276,                 2.4303,                 1.3073,               0.006436,               0.006436,               0.006436
                     39,                 2.0484,                 3.0059,                 1.5568,                 1.8645,                  3.005,                 1.4115,                0.62632,                0.20887,                0.20702,                0.10487,                 1.6094,                 2.3515,                  1.437,                 1.4175,                 2.4328,                 1.2962,               0.006337,               0.006337,               0.006337
                     40,                 2.0586,                 3.0343,                  1.574,                 1.8664,                 3.0176,                 1.4147,                0.64722,                0.20766,                 0.2081,                0.10639,                 1.5984,                 2.3375,                 1.4324,                 1.4126,                 2.4308,                 1.3038,               0.006238,               0.006238,               0.006238
                     41,                 2.0689,                 3.0044,                 1.5726,                 1.8885,                 3.0096,                 1.4149,                 0.6282,                0.22343,                0.20693,                0.10768,                 1.6015,                 2.3316,                 1.4355,                 1.4234,                 2.4245,                  1.301,               0.006139,               0.006139,               0.006139
                     42,                 2.0311,                 2.9653,                  1.553,                 1.8604,                 2.9885,                 1.4097,                0.62138,                0.21071,                0.19145,                0.09365,                 1.6774,                 2.3859,                 1.4712,                 1.4638,                 2.4835,                 1.3287,                0.00604,                0.00604,                0.00604
                     43,                 2.0589,                 2.9844,                 1.5605,                 1.8675,                 2.9889,                 1.4022,                 0.6333,                 0.2341,                0.21595,                0.10927,                 1.6003,                 2.2884,                 1.4348,                 1.4287,                 2.3776,                 1.3002,               0.005941,               0.005941,               0.005941
                     44,                 2.0598,                 2.9793,                 1.5644,                 1.8645,                 2.9805,                 1.4074,                0.59848,                0.24381,                0.22363,                0.11238,                 1.5838,                 2.2587,                 1.4244,                 1.4113,                 2.3395,                 1.2981,               0.005842,               0.005842,               0.005842
                     45,                 2.0476,                 2.9835,                 1.5638,                 1.8682,                 2.9817,                 1.4129,                 0.5951,                0.24394,                0.22617,                0.11372,                 1.5797,                 2.2337,                 1.4232,                 1.4163,                 2.3263,                 1.2955,               0.005743,               0.005743,               0.005743
                     46,                 2.0188,                 2.9417,                 1.5513,                 1.8591,                 2.9598,                 1.4106,                0.60496,                0.24175,                0.23467,                 0.1172,                 1.5771,                 2.2198,                 1.4193,                 1.4128,                 2.2998,                 1.2943,               0.005644,               0.005644,               0.005644
                     47,                 2.0433,                 2.9981,                  1.548,                 1.8685,                 2.9755,                 1.3999,                0.59625,                0.24553,                 0.2353,                0.11922,                 1.5777,                 2.1972,                 1.4167,                 1.4039,                 2.2939,                 1.2914,               0.005545,               0.005545,               0.005545
                     48,                 2.0098,                 2.9377,                 1.5424,                 1.8444,                 2.9517,                 1.3977,                 0.5959,                0.25233,                0.23386,                0.11964,                 1.5698,                 2.2122,                 1.4111,                 1.4019,                 2.2882,                 1.2882,               0.005446,               0.005446,               0.005446
                     49,                 2.0523,                 2.9485,                 1.5642,                 1.8623,                 2.9773,                 1.4111,                0.59964,                0.25171,                0.23579,                0.12013,                 1.5638,                 2.1876,                 1.4034,                 1.3968,                 2.2755,                 1.2893,               0.005347,               0.005347,               0.005347
                     50,                 2.0041,                 2.9224,                 1.5377,                 1.8342,                 2.9334,                 1.3878,                0.61581,                0.25328,                0.24001,                0.12393,                 1.5604,                 2.1638,                 1.4013,                 1.3814,                 2.2785,                 1.2881,               0.005248,               0.005248,               0.005248
                     51,                 2.0135,                 2.9278,                 1.5386,                 1.8316,                 2.9328,                 1.3876,                0.60302,                0.25471,                0.24265,                  0.125,                   1.55,                 2.1573,                 1.3948,                 1.3894,                  2.261,                 1.2802,               0.005149,               0.005149,               0.005149
                     52,                 2.0043,                 2.9089,                 1.5438,                 1.8305,                 2.9171,                  1.394,                0.60772,                0.25349,                0.24047,                0.12342,                 1.5493,                 2.1466,                 1.3951,                 1.3884,                 2.2516,                  1.275,                0.00505,                0.00505,                0.00505
                     53,                 1.9728,                 2.8613,                 1.5156,                  1.801,                 2.8736,                 1.3681,                0.62528,                0.25077,                0.24435,                0.12503,                 1.5529,                   2.14,                 1.3976,                 1.3891,                 2.2364,                 1.2743,               0.004951,               0.004951,               0.004951
                     54,                 1.9946,                 2.8695,                 1.5286,                 1.8129,                 2.8818,                 1.3743,                0.61758,                 0.2435,                0.24331,                 0.1257,                 1.5511,                 2.1564,                 1.4009,                 1.3887,                  2.239,                 1.2746,               0.004852,               0.004852,               0.004852
                     55,                 1.9849,                 2.8345,                  1.524,                 1.8244,                 2.8791,                 1.3793,                0.61413,                0.25225,                 0.2466,                0.12854,                 1.5459,                 2.1209,                  1.395,                 1.3809,                 2.2216,                 1.2691,               0.004753,               0.004753,               0.004753
                     56,                 1.9558,                 2.8371,                 1.5076,                 1.7967,                 2.8626,                 1.3664,                0.61995,                0.25689,                0.25095,                 0.1304,                 1.5444,                 2.1098,                 1.3915,                 1.3877,                 2.1921,                  1.276,               0.004654,               0.004654,               0.004654
                     57,                 1.9869,                 2.8543,                 1.5302,                 1.8135,                 2.8883,                 1.3795,                0.63542,                0.25935,                0.25248,                0.13314,                 1.5386,                 2.0831,                 1.3896,                 1.3731,                 2.1665,                 1.2684,               0.004555,               0.004555,               0.004555
                     58,                 1.9606,                  2.808,                 1.5089,                 1.8078,                  2.837,                 1.3678,                0.62407,                0.26224,                0.25398,                0.13506,                 1.5403,                 2.1129,                 1.3887,                 1.3748,                 2.2004,                  1.269,               0.004456,               0.004456,               0.004456
                     59,                 1.9729,                 2.8121,                 1.5222,                 1.8127,                 2.8426,                  1.375,                0.61509,                0.26566,                0.25757,                0.13682,                 1.5399,                 2.0863,                 1.3886,                 1.3819,                 2.1738,                 1.2659,               0.004357,               0.004357,               0.004357
                     60,                 1.9687,                 2.8159,                 1.5106,                 1.8167,                 2.8317,                 1.3684,                0.63002,                0.26601,                 0.2636,                0.14041,                  1.544,                 2.0871,                 1.3883,                 1.3904,                 2.1518,                   1.27,               0.004258,               0.004258,               0.004258
                     61,                 1.9454,                 2.7959,                 1.4979,                 1.7963,                 2.8111,                 1.3566,                0.62373,                0.29435,                0.26927,                0.14312,                 1.5405,                 2.0646,                 1.3873,                 1.3862,                 2.1432,                 1.2721,               0.004159,               0.004159,               0.004159
                     62,                 1.9435,                 2.7742,                 1.5015,                 1.7869,                 2.7924,                 1.3548,                0.61952,                 0.3018,                0.27407,                0.14624,                 1.5315,                 2.0367,                 1.3809,                 1.3847,                 2.1178,                 1.2677,                0.00406,                0.00406,                0.00406
                     63,                 1.9394,                 2.7772,                 1.4917,                 1.7895,                 2.7957,                 1.3506,                0.63533,                0.28745,                0.27835,                0.14779,                 1.5255,                 2.0182,                 1.3749,                 1.3876,                 2.1043,                 1.2653,               0.003961,               0.003961,               0.003961
                     64,                 1.9563,                 2.7275,                 1.5161,                  1.784,                 2.7532,                 1.3668,                0.55638,                0.27807,                0.27149,                0.14558,                 1.5186,                 1.9992,                 1.3702,                 1.3706,                 2.1005,                 1.2608,               0.003862,               0.003862,               0.003862
                     65,                 1.9337,                 2.7563,                 1.4837,                 1.7838,                 2.7646,                  1.344,                0.54787,                0.29108,                0.27416,                0.14854,                 1.5205,                 1.9946,                 1.3685,                 1.3727,                 2.0794,                 1.2638,               0.003763,               0.003763,               0.003763
                     66,                 1.9357,                 2.7222,                 1.4827,                 1.7745,                 2.7323,                 1.3421,                 0.6453,                0.29178,                0.28405,                0.15232,                 1.5134,                 1.9683,                 1.3645,                  1.377,                 2.0419,                 1.2612,               0.003664,               0.003664,               0.003664
                     67,                 1.9132,                 2.7501,                  1.474,                 1.7668,                 2.7592,                 1.3348,                0.63522,                0.29431,                0.28166,                0.15181,                  1.521,                 1.9951,                 1.3705,                 1.3798,                 2.0631,                 1.2685,               0.003565,               0.003565,               0.003565
                     68,                 1.9018,                 2.7259,                 1.4661,                 1.7417,                 2.7342,                 1.3237,                0.64208,                 0.3026,                0.28904,                0.15578,                 1.5022,                  1.965,                 1.3581,                 1.3683,                 2.0436,                 1.2617,               0.003466,               0.003466,               0.003466
                     69,                  1.898,                 2.6801,                 1.4685,                 1.7528,                 2.6811,                 1.3321,                0.63005,                0.30897,                0.29976,                0.16116,                 1.4957,                 1.9341,                 1.3579,                 1.3566,                 2.0066,                 1.2539,               0.003367,               0.003367,               0.003367
                     70,                 1.8738,                 2.6649,                  1.459,                 1.7439,                 2.6664,                 1.3318,                0.59793,                 0.3207,                0.30636,                0.16425,                 1.4975,                  1.948,                 1.3611,                   1.36,                 1.9934,                  1.252,               0.003268,               0.003268,               0.003268
